-0.771584-0.090141j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771594-0.090141j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771603-0.090141j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771613-0.090141j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771623-0.090140j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771632-0.090140j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771642-0.090140j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771651-0.090140j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771661-0.090139j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771671-0.090139j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771680-0.090139j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771690-0.090139j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771699-0.090138j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.771709-0.090138j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
